"sol","yazi_boyutu"
"YILDIRIM MAHALLESİ","52.454"
"KARTALTEPE MAHALLESİ","43.635"
"MURATPAŞA MAHALLESİ","33.119"
"ALTINTEPSİ MAHALLESİ","29.996"
"KOCATEPE MAHALLESİ","20.553"
"CEVATPAŞA MAHALLESİ","18.739"
"YENİDOĞAN MAHALLESİ","18.545"
"ORTA MAHALLESİ","15.778"
"TERAZİDERE MAHALLESİ","15.437"
"İSMET PAŞA MAHALLESİ","15.048"
"VATAN MAHALLESİ","9.674"
