"sol","yazi_boyutu"
"SÜMER MAHALLESİ","38.053"
"TELSİZ MAHALLESİ","33.987"
"ÇIRPICI MAHALLESİ","25.399"
"NURİPAŞA MAHALLESİ","25.261"
"MERKEZEFENDİ MAHALLESİ","23.844"
"VELİEFENDİ MAHALLESİ","23.267"
"SEYİTNİZAM MAHALLESİ","21.530"
"BEŞTELSİZ MAHALLESİ","20.808"
"YEŞİLTEPE MAHALLESİ","18.359"
"GÖKALP MAHALLESİ","17.623"
"MALTEPE MAHALLESİ","12.032"
"YENİDOĞAN MAHALLESİ","9.367"
"KAZLIÇEŞME MAHALLESİ","5.941"
