"sol","yazi_boyutu"
"MADEN MAHALLESİ","5.005"
"HEYBELİADA MAHALLESİ","4.661"
"NİZAM MAHALLESİ","4.066"
"KINALIADA MAHALLESİ","2.044"
"BURGAZADA MAHALLESİ","1.713"
