"sol","yazi_boyutu"
"ADNAN KAHVECİ MAHALLESİ","111.164"
"KAVAKLI MAHALLESİ","67.292"
"YAKUPLU MAHALLESİ","58.863"
"BARIŞ MAHALLESİ","55.725"
"MARMARA MAHALLESİ","31.850"
"CUMHURİYET MAHALLESİ","26.174"
"DEREAĞZI MAHALLESİ","21.965"
"BÜYÜKŞEHİR MAHALLESİ","21.125"
"GÜRPINAR MAHALLESİ","20.388"
"SAHİL MAHALLESİ","8.374"
